VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2015-12-01 00:00:00,2015-12-01 00:05:16,5,.96,-73.979942321777344,40.765380859375,1,N,-73.96630859375,40.763088226318359,1,5.5,0.5,0.5,1,0,0.3,7.8
2,2015-12-01 00:00:00,2015-12-01 00:00:00,2,2.69,-73.972335815429687,40.762378692626953,1,N,-73.993629455566406,40.745998382568359,1,21.5,0,0.5,3.34,0,0.3,25.64
2,2015-12-01 00:00:00,2015-12-01 00:00:00,1,2.62,-73.968849182128906,40.764530181884766,1,N,-73.97454833984375,40.791641235351563,1,17,0,0.5,3.56,0,0.3,21.36
1,2015-12-01 00:00:01,2015-12-01 00:05:56,1,1.20,-73.993934631347656,40.741683959960937,1,N,-73.997665405273438,40.747467041015625,1,6.5,0.5,0.5,0.2,0,0.3,8
1,2015-12-01 00:00:01,2015-12-01 00:09:28,2,3.00,-73.988922119140625,40.72698974609375,1,N,-73.975593566894531,40.696868896484375,2,11,0.5,0.5,0,0,0.3,12.3
1,2015-12-01 00:00:02,2015-12-01 00:16:12,1,6.30,-73.974082946777344,40.762912750244141,1,N,-74.012802124023438,40.70220947265625,1,20.5,0.5,0.5,4.35,0,0.3,26.15
2,2015-12-01 00:00:02,2015-12-01 00:02:49,6,.63,-73.968315124511719,40.755329132080078,1,N,-73.962081909179688,40.758914947509766,1,4,0.5,0.5,1.06,0,0.3,6.36
2,2015-12-01 00:00:02,2015-12-01 00:08:06,2,1.91,-73.994209289550781,40.746101379394531,1,N,-74.004249572753906,40.721809387207031,1,8,0.5,0.5,1.86,0,0.3,11.16
2,2015-12-01 00:00:02,2015-12-01 00:17:11,1,4.50,-74.006759643554687,40.718906402587891,1,N,-73.989692687988281,40.772853851318359,1,16.5,0.5,0.5,3.56,0,0.3,21.36
2,2015-12-01 00:00:04,2015-12-01 00:10:43,2,1.42,-73.9996337890625,40.734771728515625,1,N,-73.989067077636719,40.723121643066406,1,8.5,0.5,0.5,2.45,0,0.3,12.25
2,2015-12-01 00:00:04,2015-12-01 00:10:37,6,2.02,-73.982681274414063,40.731311798095703,1,N,-74.006011962890625,40.745231628417969,2,9.5,0.5,0.5,0,0,0.3,10.8
1,2015-12-01 00:00:05,2015-12-01 00:00:05,1,.00,-73.990158081054687,40.756198883056641,5,Y,0,0,2,0,0,0,0,0,0,0
1,2015-12-01 00:00:05,2015-12-01 00:05:51,1,1.00,-73.995765686035156,40.743789672851562,1,N,-74.00262451171875,40.730545043945313,1,6,0.5,0.5,2.15,0,0.3,9.45
2,2015-12-01 00:00:05,2015-12-02 00:00:00,1,.94,-74.005416870117187,40.727283477783203,1,N,-73.997016906738281,40.725391387939453,1,5,0.5,0.5,0,0,0.3,6.3
2,2015-12-01 00:00:05,2015-12-01 00:09:17,1,1.73,-73.999336242675781,40.728321075439453,1,N,-73.980880737304688,40.737781524658203,1,8.5,0.5,0.5,1.96,0,0.3,11.76
2,2015-12-01 00:00:05,2015-12-01 00:15:12,1,1.77,-73.975898742675781,40.7559814453125,1,N,-73.97711181640625,40.750175476074219,1,11.5,0.5,0.5,3.84,0,0.3,16.64
1,2015-12-01 00:00:06,2015-12-01 00:05:48,1,1.80,-73.988410949707031,40.764423370361328,1,N,-73.993782043457031,40.743404388427734,1,7,0.5,0.5,2.05,0,0.3,10.35
2,2015-12-01 00:00:06,2015-12-01 00:10:30,1,2.90,-74.004623413085938,40.721500396728516,1,N,-73.977104187011719,40.747016906738281,1,11,0.5,0.5,3.08,0,0.3,15.38
1,2015-12-01 00:00:07,2015-12-01 00:43:49,1,21.40,-73.781097412109375,40.645000457763672,2,N,-74.008567810058594,40.702865600585938,1,52,0,0.5,8,0,0.3,60.8
